origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
BLQ,ATH,69384.49,1334.3171,6,2016,2024,eu_trend_wm_max_recent_v2
BGO,ARN,69370.11,1334.0405,7,2015,2024,eu_trend_wm_max_recent_v2
ORY,MLA,69355.43,1333.7583,7,2015,2024,eu_trend_wm_max_recent_v2
OSL,DUS,69347.53,1333.6064,4,2018,2024,eu_trend_wm_max_recent_v2
NCE,LUX,69342.91,1333.5176,7,2015,2024,eu_trend_wm_max_recent_v2
ALC,DUS,69311.74,1332.9181,7,2015,2024,eu_trend_wm_max_recent_v2
LUX,NCE,69307.81,1332.8425,7,2015,2024,eu_trend_wm_max_recent_v2
EDI,FAO,69283.88,1332.3823,7,2015,2024,eu_trend_wm_max_recent_v2
FCO,BSL,69279.17,1332.2917,7,2015,2024,eu_trend_wm_max_recent_v2
STR,FUE,69273.49,1332.1826,7,2015,2024,eu_trend_wm_max_recent_v2
WAW,ALC,69252.38,1331.7765,2,2023,2024,eu_trend_wm_max_recent_v2
ALC,WAW,69230.2,1331.3501,2,2023,2024,eu_trend_wm_max_recent_v2
ORD,ATH,69225.01,1331.2501,1,2024,2024,eu_trend_wm_max_recent_v2
FRA,KTW,69202.92,1330.8254,7,2015,2024,eu_trend_wm_max_recent_v2
MLA,BCN,69201.0,1330.7885,7,2015,2024,eu_trend_wm_max_recent_v2
RHO,DUS,69196.95,1330.7105,7,2015,2024,eu_trend_wm_max_recent_v2
PHL,CDG,69185.58,1330.4919,7,2015,2024,eu_trend_wm_max_recent_v2
PRG,EIN,69176.0,1330.3077,6,2016,2024,eu_trend_wm_max_recent_v2
GRU,MUC,69126.03,1329.3467,2,2015,2016,eu_trend_wm_max_recent_v2
PVG,ZRH,69096.0,1328.7692,6,2015,2024,eu_trend_wm_max_recent_v2
FRA,GLA,69087.93,1328.6141,4,2018,2024,eu_trend_wm_max_recent_v2
PVG,VIE,69086.0,1328.5769,5,2016,2024,eu_trend_wm_max_recent_v2
AMS,CMN,69077.0,1328.4038,7,2015,2024,eu_trend_wm_max_recent_v2
BOD,DUB,69072.84,1328.3239,7,2015,2024,eu_trend_wm_max_recent_v2
KTW,FRA,69071.34,1328.295,7,2015,2024,eu_trend_wm_max_recent_v2
CDG,SJO,69043.59,1327.7613,4,2018,2024,eu_trend_wm_max_recent_v2
KRK,CPH,69034.0,1327.5769,7,2015,2024,eu_trend_wm_max_recent_v2
SXB,TLS,69018.0,1327.2692,7,2015,2024,eu_trend_wm_max_recent_v2
MXP,WAW,69012.85,1327.1703,7,2015,2024,eu_trend_wm_max_recent_v2
DUB,BOD,69001.29,1326.9479,7,2015,2024,eu_trend_wm_max_recent_v2
BRS,VCE,68979.56,1326.53,6,2016,2024,eu_trend_wm_max_recent_v2
MAD,BOS,68968.76,1326.3222,7,2015,2024,eu_trend_wm_max_recent_v2
TFS,CGN,68943.84,1325.8431,7,2015,2024,eu_trend_wm_max_recent_v2
OSL,DUB,68939.0,1325.75,7,2015,2024,eu_trend_wm_max_recent_v2
EIN,PRG,68921.0,1325.4038,6,2016,2024,eu_trend_wm_max_recent_v2
MAD,PHL,68910.0,1325.1923,7,2015,2024,eu_trend_wm_max_recent_v2
IST,CTA,68896.7,1324.9365,2,2023,2024,eu_trend_wm_max_recent_v2
BFS,TFS,68893.0,1324.8654,7,2015,2024,eu_trend_wm_max_recent_v2
TLV,BOJ,68858.92,1324.21,7,2015,2024,eu_trend_wm_max_recent_v2
BVA,IAS,68850.5,1324.0482,6,2016,2024,eu_trend_wm_max_recent_v2
TRN,BDS,68850.5,1324.0482,7,2015,2024,eu_trend_wm_max_recent_v2
HER,PRG,68838.07,1323.809,7,2015,2024,eu_trend_wm_max_recent_v2
SCQ,VLC,68821.87,1323.4974,7,2015,2024,eu_trend_wm_max_recent_v2
RHO,STN,68800.62,1323.0888,7,2015,2024,eu_trend_wm_max_recent_v2
BHX,BRU,68794.92,1322.9792,5,2015,2019,eu_trend_wm_max_recent_v2
IST,KIX,68794.78,1322.9766,1,2024,2024,eu_trend_wm_max_recent_v2
CGN,DRS,68776.56,1322.6262,5,2015,2019,eu_trend_wm_max_recent_v2
LCA,DXB,68752.21,1322.158,7,2015,2024,eu_trend_wm_max_recent_v2
MUC,PAD,68747.18,1322.0611,7,2015,2024,eu_trend_wm_max_recent_v2
MAD,EWR,68745.87,1322.036,7,2015,2024,eu_trend_wm_max_recent_v2
BOJ,TLV,68731.19,1321.7537,7,2015,2024,eu_trend_wm_max_recent_v2
FCO,SVQ,68722.5,1321.5865,7,2015,2024,eu_trend_wm_max_recent_v2
MUC,WRO,68698.72,1321.1293,7,2015,2024,eu_trend_wm_max_recent_v2
LTN,NOC,68670.58,1320.5881,7,2015,2024,eu_trend_wm_max_recent_v2
BCN,LUX,68670.35,1320.5837,7,2015,2024,eu_trend_wm_max_recent_v2
CDG,PHL,68655.0,1320.2885,7,2015,2024,eu_trend_wm_max_recent_v2
TLS,SXB,68648.0,1320.1538,7,2015,2024,eu_trend_wm_max_recent_v2
ATH,LTN,68602.77,1319.284,4,2018,2024,eu_trend_wm_max_recent_v2
LIS,ARN,68600.85,1319.2472,7,2015,2024,eu_trend_wm_max_recent_v2
DOH,BHX,68596.0,1319.1538,4,2016,2019,eu_trend_wm_max_recent_v2
BRS,ORY,68585.36,1318.9492,2,2023,2024,eu_trend_wm_max_recent_v2
DUS,MIA,68575.89,1318.767,4,2015,2019,eu_trend_wm_max_recent_v2
DUS,RHO,68541.94,1318.1142,7,2015,2024,eu_trend_wm_max_recent_v2
NUE,MUC,68533.87,1317.9591,5,2015,2019,eu_trend_wm_max_recent_v2
FUE,STR,68510.38,1317.5073,7,2015,2024,eu_trend_wm_max_recent_v2
LGW,MIA,68483.0,1316.9808,1,2019,2019,eu_trend_wm_max_recent_v2
PAD,MUC,68445.79,1316.2653,7,2015,2024,eu_trend_wm_max_recent_v2
PSA,LHR,68444.01,1316.231,7,2015,2024,eu_trend_wm_max_recent_v2
FAO,EDI,68418.0,1315.7308,7,2015,2024,eu_trend_wm_max_recent_v2
WAW,MXP,68407.34,1315.5258,7,2015,2024,eu_trend_wm_max_recent_v2
TFS,BFS,68395.97,1315.3072,7,2015,2024,eu_trend_wm_max_recent_v2
IST,PVG,68388.58,1315.165,2,2023,2024,eu_trend_wm_max_recent_v2
WMI,DUB,68377.24,1314.947,7,2015,2024,eu_trend_wm_max_recent_v2
DUB,WMI,68376.34,1314.9295,7,2015,2024,eu_trend_wm_max_recent_v2
BEG,MUC,68367.28,1314.7554,7,2015,2024,eu_trend_wm_max_recent_v2
MSP,LHR,68366.0,1314.7308,5,2015,2019,eu_trend_wm_max_recent_v2
BWI,LHR,68272.0,1312.9231,5,2015,2019,eu_trend_wm_max_recent_v2
OPO,EWR,68271.25,1312.9087,6,2015,2024,eu_trend_wm_max_recent_v2
LHR,BWI,68266.0,1312.8077,5,2015,2019,eu_trend_wm_max_recent_v2
ZRH,BOM,68264.81,1312.7847,7,2015,2024,eu_trend_wm_max_recent_v2
WRO,MUC,68256.01,1312.6155,7,2015,2024,eu_trend_wm_max_recent_v2
LTN,BCM,68241.69,1312.3402,7,2015,2024,eu_trend_wm_max_recent_v2
IAD,ZRH,68239.0,1312.2885,7,2015,2024,eu_trend_wm_max_recent_v2
KEF,MUC,68222.7,1311.975,7,2015,2024,eu_trend_wm_max_recent_v2
ARN,RHO,68210.0,1311.7308,7,2015,2024,eu_trend_wm_max_recent_v2
DOH,BUD,68132.67,1310.2437,6,2016,2024,eu_trend_wm_max_recent_v2
ATL,STR,68112.0,1309.8462,7,2015,2024,eu_trend_wm_max_recent_v2
IAD,CPH,68107.44,1309.7585,7,2015,2024,eu_trend_wm_max_recent_v2
BDS,PSA,68106.81,1309.7463,7,2015,2024,eu_trend_wm_max_recent_v2
RHO,ARN,68095.0,1309.5192,7,2015,2024,eu_trend_wm_max_recent_v2
HER,HAM,68087.0,1309.3654,7,2015,2024,eu_trend_wm_max_recent_v2
DUS,EWR,68051.52,1308.6831,5,2015,2019,eu_trend_wm_max_recent_v2
LIS,TLV,67969.0,1307.0962,3,2019,2024,eu_trend_wm_max_recent_v2
TRN,SUF,67959.7,1306.9173,7,2015,2024,eu_trend_wm_max_recent_v2
LPA,GOT,67957.26,1306.8703,7,2015,2024,eu_trend_wm_max_recent_v2
ALC,CDG,67952.53,1306.7794,2,2023,2024,eu_trend_wm_max_recent_v2
VCE,CAG,67902.64,1305.82,7,2015,2024,eu_trend_wm_max_recent_v2
LTN,ATH,67901.71,1305.8022,4,2018,2024,eu_trend_wm_max_recent_v2
ABZ,FRA,67897.15,1305.7144,3,2015,2017,eu_trend_wm_max_recent_v2
VLC,SCQ,67886.01,1305.5002,7,2015,2024,eu_trend_wm_max_recent_v2
NOC,LTN,67842.52,1304.6638,7,2015,2024,eu_trend_wm_max_recent_v2
DUS,ALC,67837.72,1304.5716,7,2015,2024,eu_trend_wm_max_recent_v2
PSA,BDS,67817.65,1304.1855,7,2015,2024,eu_trend_wm_max_recent_v2
MAN,PHL,67802.46,1303.8935,5,2015,2019,eu_trend_wm_max_recent_v2
MAD,ATL,67757.58,1303.0304,7,2015,2024,eu_trend_wm_max_recent_v2
TPA,FRA,67755.91,1302.9983,6,2016,2024,eu_trend_wm_max_recent_v2
ACE,AMS,67740.77,1302.7071,7,2015,2024,eu_trend_wm_max_recent_v2
DRS,CGN,67740.24,1302.6969,5,2015,2019,eu_trend_wm_max_recent_v2
LIS,PRG,67679.07,1301.5205,2,2023,2024,eu_trend_wm_max_recent_v2
MAN,ATH,67678.14,1301.5028,7,2015,2024,eu_trend_wm_max_recent_v2
PHL,MAD,67668.0,1301.3077,7,2015,2024,eu_trend_wm_max_recent_v2
PRG,HER,67643.69,1300.8401,7,2015,2024,eu_trend_wm_max_recent_v2
LHR,MSP,67634.0,1300.6538,5,2015,2019,eu_trend_wm_max_recent_v2
MAD,NRT,67626.0,1300.5,3,2017,2019,eu_trend_wm_max_recent_v2
GRO,STN,67610.99,1300.2114,7,2015,2024,eu_trend_wm_max_recent_v2
MXP,CMN,67600.01,1300.0002,7,2015,2024,eu_trend_wm_max_recent_v2
