iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,47.749700,88.083300,9186,10,Asia/Urumqi,200000,medium_airport
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.651773,-75.442797,7600,45,America/New_York,780000,medium_airport
ABI,KABI,Abilene Regional Airport,Abilene,US,32.411301,-99.6819,7202,25,America/Chicago,85000,small_airport
ABL,PAFM,Ambler Airport,Ambler,US,67.105529,-157.855339,3000,25,Pacific/Honolulu,5000,small_airport
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925,13793,80,America/Denver,820000,medium_airport
ABR,KABR,Aberdeen Regional Airport,Aberdeen,US,45.4491,-98.421799,6901,25,America/Chicago,35000,small_airport
ABU,WATA,A.A. Bere Tallo Airport,Atambua,ID,-9.055830,124.908997,3937,1,Asia/Makassar,25000,small_airport
ABX,YMAY,Albury Airport,Albury,AU,-36.068300,146.957993,6234,3,Australia/Sydney,65000,medium_airport
ABY,KABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215,6601,25,America/New_York,38000,small_airport
ABZ,EGPD,Aberdeen Airport,Aberdeen,GB,57.201944,-2.197778,6401,15,Europe/London,380000,large_airport
ACA,MMAA,Acapulco International Airport,Acapulco,MX,16.757100,-99.754000,10827,10,America/Mexico_City,260000,medium_airport
ACI,EGJA,Alderney Airport,Alderney,GG,49.706111,-2.214722,2887,2,Europe/London,5000,small_airport
ACK,KACK,Nantucket Memorial Airport,Nantucket,US,41.253101,-70.060204,6303,25,America/New_York,110000,medium_airport
ACT,KACT,Waco Regional Airport,Waco,US,31.6113,-97.230499,6596,25,America/Chicago,65000,small_airport
ACU,MPAC,Achutupo Airport,Achutupo,PA,9.198060,-77.986099,1500,1,America/Panama,8000,small_airport
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.978101,-124.109,6000,25,America/Anchorage,75000,small_airport
ACY,KACY,Atlantic City International Airport,Atlantic City,US,39.456201,-74.577511,10000,45,America/New_York,520000,medium_airport
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,ET,8.977890,38.799301,12467,40,Africa/Addis_Ababa,920000,large_airport
ADH,KADH,Ada Regional Airport,Ada,US,34.805214,-96.671988,6203,25,America/Chicago,15000,small_airport
ADK,PADK,Adak Airport,Adak,US,51.883564,-176.642783,7790,25,Pacific/Honolulu,8000,small_airport
ADL,YPAD,Adelaide Airport,Adelaide,AU,-34.945000,138.531006,10171,35,Australia/Adelaide,950000,large_airport
ADQ,PADQ,Kodiak Airport,Kodiak,US,57.75,-152.494003,7542,25,Pacific/Honolulu,42000,small_airport
ADW,KADW,Joint Base Andrews,Camp Springs,US,38.810799,-76.866997,9755,25,America/New_York,250000,medium_airport
AEG,WIMA,Aek Godang Airport,Padang Sidempuan,ID,1.400030,99.431297,4593,1,Asia/Jakarta,15000,small_airport
AEX,KAEX,Alexandria International Airport,Alexandria,US,31.325828,-92.546702,9352,45,America/Chicago,34000,small_airport
AFW,KAFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,US,32.99044,-97.31947,11010,168,America/Chicago,95000,small_airport
AGC,KAGC,Allegheny County Airport,Pittsburgh,US,40.354401,-79.930199,6501,25,America/New_York,65000,small_airport
AGS,KAGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645,8001,25,America/New_York,210000,medium_airport
AGU,MMAS,Lic. Jesús Terán Peredo International Airport,Aguascalientes,MX,21.705600,-102.318000,9842,6,America/Mexico_City,230000,medium_airport
AHN,KAHN,Athens Ben Epps Airport,Athens,US,33.948842,-83.325634,5522,25,America/New_York,15000,small_airport
AIA,KAIA,Alliance Municipal Airport,Alliance,US,42.052543,-102.803965,9202,25,America/Chicago,8000,small_airport
AIN,PAWI,Wainwright Airport,Wainwright,US,70.638,-159.994995,4494,25,Pacific/Honolulu,5000,small_airport
AKC,KAKR,Akron Fulton International Airport,Akron,US,41.037355,-81.46784,6337,45,America/New_York,9000,small_airport
AKJ,RJEC,Asahikawa Airport,Asahikawa,JP,43.670898,142.447998,8202,8,Asia/Tokyo,180000,medium_airport
AKL,NZAA,Auckland International Airport,Auckland,NZ,-38.003700,174.792007,11926,45,Pacific/Auckland,1350000,large_airport
AKN,PAKN,King Salmon Airport,King Salmon,US,58.677845,-156.651965,8901,25,Pacific/Honolulu,12000,small_airport
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.133598,-151.742996,4800,25,Pacific/Honolulu,3000,small_airport
AKU,ZWAK,Aksu Hongqiapo Airport,Aksu,CN,41.261902,80.292503,7874,12,Asia/Urumqi,280000,medium_airport
AKY,VYAK,Sittwe Airport,Sittwe,MM,20.132500,92.871902,6000,3,Asia/Yangon,120000,medium_airport
ALA,UAAA,Almaty International Airport,Almaty,KZ,43.354267,77.042828,14764,25,Asia/Almaty,680000,large_airport
ALB,KALB,Albany International Airport,Albany,US,42.748299,-73.801697,7200,80,America/New_York,71000,small_airport
ALF,ZBAA,Arxan Yi'ershi Airport,Arxan,CN,47.309400,119.943000,7874,4,Asia/Shanghai,80000,small_airport
ALH,YABA,Albany Airport,Albany,AU,-34.940598,117.809998,5905,2,Australia/Perth,45000,small_airport
ALI,KALI,Alice International Airport,Alice,US,27.7409,-98.026901,5997,45,America/Chicago,45000,small_airport
ALM,KALM,Alamogordo White Sands Regional Airport,Alamogordo,US,32.837818,-105.993149,7006,25,America/Denver,12000,small_airport
ALN,KALN,St Louis Regional Airport,Alton/St Louis,US,38.890301,-90.045998,8101,25,America/Chicago,45000,small_airport
ALO,KALO,Waterloo Regional Airport,Waterloo,US,42.557098,-92.400299,8400,25,America/Chicago,35000,small_airport
ALS,KALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,37.434898,-105.866997,8519,25,America/Denver,25000,small_airport
ALW,KALW,Walla Walla Regional Airport,Walla Walla,US,46.094898,-118.288002,6526,25,America/Anchorage,65000,small_airport
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,US,35.217857,-101.706444,13502,45,America/Chicago,610000,medium_airport
AMQ,WAPP,Pattimura Airport,Ambon,ID,-3.705180,128.089005,8202,8,Asia/Jayapura,450000,large_airport
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,NL,52.308601,4.763890,12467,165,Europe/Amsterdam,1450000,large_airport
ANB,KANB,Anniston Regional Airport,Anniston,US,33.5882,-85.8581,7000,25,America/New_York,15000,small_airport
ANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,US,61.179004,-149.992561,11584,80,Pacific/Honolulu,840000,medium_airport
AND,KAND,Anderson Regional Airport,Anderson,US,34.494598,-82.709396,6002,25,America/New_York,25000,small_airport
ANI,PANI,Aniak Airport,Aniak,US,61.5816,-159.542999,6000,25,Pacific/Honolulu,8000,small_airport
ANN,PANT,Annette Island Airport,Metlakatla,US,55.037663,-131.572609,7493,25,Pacific/Honolulu,3000,small_airport
ANV,PANV,Anvik Airport,Anvik,US,62.646702,-160.190994,2960,25,Pacific/Honolulu,2000,small_airport
AOJ,RJSA,Aomori Airport,Aomori,JP,40.735001,140.688995,9840,6,Asia/Tokyo,150000,medium_airport
AOO,KAOO,Altoona Blair County Airport,Altoona,US,40.296398,-78.32,5466,25,America/New_York,21000,small_airport
APA,KAPA,Centennial Airport,Denver,US,39.570099,-104.848999,10002,25,America/Denver,95000,small_airport
APF,KAPF,Naples Municipal Airport,Naples,US,26.152599,-81.775299,5290,25,America/New_York,65000,small_airport
APG,KAPG,Phillips Army Air Field,Aberdeen,US,39.466202,-76.1688,7997,25,America/New_York,15000,small_airport
APN,KAPN,Alpena County Regional Airport,Alpena,US,45.078098,-83.560303,9001,25,America/New_York,28000,small_airport
AQB,MGQC,Quiché Airport,Santa Cruz del Quiché,GT,15.006900,-91.141700,3937,1,America/Guatemala,10000,small_airport
AQG,ZSAQ,Anqing Tianzhushan Airport,Anqing,CN,30.582800,117.050003,9186,10,Asia/Shanghai,250000,medium_airport
ARA,KARA,Acadiana Regional Airport,New Iberia,US,30.0378,-91.883904,8002,25,America/Chicago,35000,small_airport
ARC,PARC,Arctic Village Airport,Arctic Village,US,68.1147,-145.578995,4500,25,Pacific/Honolulu,4000,small_airport
ARD,WATM,Mali Airport,Alor,ID,-8.156100,124.577003,5249,1,Asia/Makassar,30000,small_airport
ARM,YARM,Armidale Airport,Armidale,AU,-30.528000,151.615000,5702,2,Australia/Sydney,40000,small_airport
ARN,ESSA,Stockholm-Arlanda Airport,Stockholm,SE,59.648490,17.928829,10830,50,Europe/Stockholm,1080000,large_airport
ART,KART,Watertown International Airport,Watertown,US,43.991901,-76.021698,5000,45,America/New_York,220000,medium_airport
ASB,UTAA,Ashgabat International Airport,Ashgabat,TM,37.986801,58.361000,12467,12,Asia/Ashgabat,395000,large_airport
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,39.223202,-106.869003,8006,25,America/Denver,310000,medium_airport
ASJ,RJKA,Amami Airport,Amami,JP,28.430600,129.712000,6561,4,Asia/Tokyo,75000,medium_airport
ASP,YBAS,Alice Springs Airport,Alice Springs,AU,-23.806700,133.901993,7999,5,Australia/Darwin,190000,medium_airport
AST,KAST,Astoria Regional Airport,Astoria,US,46.158001,-123.878998,5796,25,America/Anchorage,12000,small_airport
ATH,LGAV,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.944500,13123,55,Europe/Athens,1120000,large_airport
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,70.46704,-157.436013,4370,25,Pacific/Honolulu,5000,small_airport
ATL,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,33.6367,-84.428101,11890,192,America/New_York,1250000,large_airport
ATW,KATW,Appleton International Airport,Appleton,US,44.258515,-88.519,8002,45,America/New_York,680000,medium_airport
ATY,KATY,Watertown Regional Airport,Watertown,US,44.914001,-97.154701,6900,25,America/Chicago,18000,small_airport
AUA,TNCA,Queen Beatrix International Airport,Oranjestad,AW,12.501056,-70.014281,9000,14,America/Aruba,460000,medium_airport
AUG,KAUG,Augusta State Airport,Augusta,US,44.320599,-69.797302,5001,25,America/New_York,25000,small_airport
AUH,OMAA,Zayed International Airport,Abu Dhabi,AE,24.440966,54.649237,13471,55,Asia/Dubai,1050000,large_airport
AUS,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015,12248,80,America/Chicago,920000,medium_airport
AUW,KAUW,Wausau Downtown Airport,Wausau,US,44.926201,-89.626602,8000,25,America/New_York,18000,small_airport
AVL,KAVL,Asheville Regional Airport,Asheville,US,35.435488,-82.541853,8001,25,America/New_York,810000,medium_airport
AVP,KAVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,41.337064,-75.724232,7501,45,America/New_York,580000,medium_airport
AXJ,RJDA,Amakusa Airport,Amakusa,JP,32.482498,130.158997,3281,2,Asia/Tokyo,90000,medium_airport
AXN,KAXN,Chandler Field,Alexandria,US,45.866299,-95.394699,5100,25,America/Chicago,15000,small_airport
AXT,RJSK,Akita Airport,Akita,JP,39.615599,140.218994,8202,6,Asia/Tokyo,130000,medium_airport
AYQ,YAYE,Ayers Rock Connellan Airport,Yulara,AU,-25.186001,130.975006,8527,4,Australia/Darwin,150000,medium_airport
AZA,KIWA,Mesa Gateway Airport,Mesa,US,33.3078,-111.654999,10401,25,America/Denver,860000,medium_airport
AZG,MMAP,Pablo L. Sidar National Airport,Apatzingán,MX,19.080800,-102.355000,4921,1,America/Mexico_City,5000,small_airport
AZO,KAZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,42.232105,-85.549637,6500,45,America/New_York,520000,medium_airport
AZS,MDAB,Samaná El Catey International Airport,Samaná,DO,19.268300,-69.742800,9842,4,America/Santo_Domingo,180000,medium_airport
BAB,KBAB,Beale Air Force Base,Beale Air Force Base,US,39.136101,-121.436996,12000,25,America/Anchorage,85000,small_airport
BAD,KBAD,Barksdale Air Force Base,Bossier City,US,32.501801,-93.662697,11756,25,America/Chicago,95000,small_airport
BAF,KBAF,Westfield-Barnes Regional Airport,Westfield,US,42.157799,-72.715599,9000,25,America/New_York,45000,small_airport
BAR,ZJQH,Qionghai Bo'ao Airport,Qionghai,CN,19.139400,110.457000,8530,10,Asia/Shanghai,250000,medium_airport
BAS,ZGBS,Baise Bama Airport,Baise,CN,23.725800,106.960000,8202,6,Asia/Shanghai,150000,medium_airport
BAV,ZBOW,Baotou Donghe Airport,Baotou,CN,40.560600,109.998001,9186,15,Asia/Shanghai,350000,medium_airport
BBD,KBBD,Curtis Field,Brady,US,31.178931,-99.324732,4604,25,America/Chicago,4000,small_airport
BCD,RPVB,Bacolod-Silay Airport,Bacolod,PH,10.776600,123.014999,6561,8,Asia/Manila,520000,large_airport
BCE,KBCE,Bryce Canyon Airport,Bryce Canyon,US,37.706402,-112.144997,7395,25,America/Denver,8000,small_airport
BCN,LEBL,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.297100,2.078460,11000,80,Europe/Madrid,1300000,large_airport
BCT,KBCT,Boca Raton Airport,Boca Raton,US,26.3785,-80.107697,6276,25,America/New_York,110000,medium_airport
BCV,MZBP,Belmopan Airport,Belmopan,BZ,17.269400,-88.775800,2100,1,America/Belize,10000,small_airport
BDE,KBDE,Baudette International Airport,Baudette,US,48.728401,-94.612198,6000,45,America/Chicago,30000,small_airport
BDJ,WAOO,Syamsudin Noor International Airport,Banjarmasin,ID,-3.440650,114.761002,8202,12,Asia/Makassar,560000,large_airport
BDL,KBDL,Bradley International Airport,Hartford,US,41.938555,-72.688016,9510,80,America/New_York,790000,medium_airport
BDO,WICC,Husein Sastranegara International Airport,Bandung,ID,-6.900970,107.575996,7283,6,Asia/Jakarta,250000,medium_airport
BDP,VNCG,Chandragadhi Airport,Bhadrapur,NP,26.570600,88.048300,4921,3,Asia/Kathmandu,90000,medium_airport
BDR,KBDR,Igor I Sikorsky Memorial Airport,Bridgeport,US,41.163502,-73.126198,4761,25,America/New_York,35000,small_airport
BEB,EGPU,Benbecula Airport,Benbecula,GB,57.481111,-7.362778,6023,1,Europe/London,5000,small_airport
BED,KBED,Laurence G Hanscom Field,Bedford,US,42.470001,-71.289001,7001,25,America/New_York,95000,small_airport
BEF,MNBL,Bluefields Airport,Bluefields,NI,11.988800,-83.774400,6500,2,America/Managua,90000,small_airport
BEJ,WAQQ,Kalimarau Airport,Tanjung Redeb,ID,2.155700,117.430000,7381,3,Asia/Makassar,110000,medium_airport
BET,PABE,Bethel Airport,Bethel,US,60.7798,-161.837997,6400,25,Pacific/Honolulu,140000,medium_airport
BFD,KBFD,Bradford Regional Airport,Bradford,US,41.803101,-78.640099,6309,25,America/New_York,18000,small_airport
BFF,KBFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,41.874001,-103.596001,8279,25,America/Chicago,15000,small_airport
BFI,KBFI,King County International Airport - Boeing Field,Seattle,US,47.527042,-122.29995,10007,45,America/Anchorage,410000,medium_airport
BFL,KBFL,Meadows Field,Bakersfield,US,35.433601,-119.056999,10857,25,America/Anchorage,310000,medium_airport
BFM,KBFM,Mobile Downtown Airport,Mobile,US,30.626801,-88.0681,9618,25,America/New_York,110000,medium_airport
BFP,KBVI,Beaver County Airport,Beaver Falls,US,40.772499,-80.391403,4501,25,America/New_York,12000,small_airport
BFS,EGAA,Belfast International Airport,Belfast,GB,54.657500,-6.215833,9121,20,Europe/London,580000,large_airport
BFX,ZUBJ,Bijie Feixiong Airport,Bijie,CN,27.262500,105.474000,8530,10,Asia/Shanghai,220000,medium_airport
BGM,KBGM,Greater Binghamton/Edwin A Link field,Binghamton,US,42.208698,-75.979797,7100,25,America/New_York,65000,small_airport
BGR,KBGR,Bangor International Airport,Bangor,US,44.806364,-68.826668,11440,45,America/New_York,640000,medium_airport
BHB,KBHB,Hancock County-Bar Harbor Airport,Bar Harbor,US,44.450001,-68.361504,5200,25,America/New_York,45000,small_airport
BHD,EGAC,George Best Belfast City Airport,Belfast,GB,54.618056,-5.872500,6001,10,Europe/London,350000,large_airport
BHE,NZWB,Woodbourne Airport,Blenheim,NZ,-41.518398,173.871002,4675,4,Pacific/Auckland,140000,medium_airport
BHM,KBHM,Birmingham-Shuttlesworth International Airport,Birmingham,US,33.562877,-86.750712,10000,80,America/New_York,740000,medium_airport
BHP,VNBJ,Bhojpur Airport,Bhojpur,NP,27.146900,87.050600,1755,1,Asia/Kathmandu,15000,small_airport
BHR,VNBP,Bharatpur Airport,Bharatpur,NP,27.677800,84.426700,3800,3,Asia/Kathmandu,120000,medium_airport
BHS,YBTH,Bathurst Airport,Bathurst,AU,-33.408890,149.651993,5594,2,Australia/Sydney,30000,small_airport
BHX,EGBB,Birmingham Airport,Birmingham,GB,52.453856,-1.748028,10013,30,Europe/London,780000,large_airport
BHY,ZGBH,Beihai Fucheng Airport,Beihai,CN,21.539200,109.293999,10499,15,Asia/Shanghai,450000,medium_airport
BIF,KBIF,Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,US,31.849501,-106.379997,13554,25,America/Denver,45000,small_airport
BIG,PABI,Allen Army Airfield,Delta Junction Ft Greely,US,63.994499,-145.722,9000,25,Pacific/Honolulu,12000,small_airport
BIH,KBIH,Eastern Sierra Regional Airport,Bishop,US,37.3731,-118.363998,7498,25,America/Anchorage,35000,small_airport
BIK,WABB,Frans Kaisiepo International Airport,Biak,ID,-1.190820,136.108002,11712,4,Asia/Jayapura,140000,medium_airport
BIL,KBIL,Billings Logan International Airport,Billings,US,45.808932,-108.541242,10518,106,America/Denver,690000,medium_airport
BIM,MYBS,South Bimini Airport,Bimini,BS,25.700000,-79.264700,5430,2,America/Nassau,50000,small_airport
BIR,VNVT,Biratnagar Airport,Biratnagar,NP,26.481100,87.266100,4921,4,Asia/Kathmandu,150000,medium_airport
BIS,KBIS,Bismarck Municipal Airport,Bismarck,US,46.772734,-100.746874,8794,25,America/Chicago,640000,medium_airport
BIX,KBIX,Keesler Air Force Base,Biloxi,US,30.4104,-88.9244,7630,25,America/New_York,85000,small_airport
BJC,KBJC,Rocky Mountain Metropolitan Airport,Denver,US,39.908798,-105.116997,9000,25,America/Denver,85000,small_airport
BJH,VNBG,Bajhang Airport,Bajhang,NP,29.539200,81.189400,2100,1,Asia/Kathmandu,8000,small_airport
BJI,KBJI,Bemidji Regional Airport,Bemidji,US,47.509399,-94.933701,6598,25,America/Chicago,45000,small_airport
BJU,VNBR,Bajura Airport,Bajura,NP,29.502800,81.673300,1880,1,Asia/Kathmandu,10000,small_airport
BJW,WATB,Soa Airport,Bajawa,ID,-8.729120,121.056000,4593,1,Asia/Makassar,35000,small_airport
BJX,MMLO,Del Bajío International Airport,León/Guanajuato,MX,20.993500,-101.481000,11483,15,America/Mexico_City,580000,large_airport
BKE,KBKE,Baker City Municipal Airport,Baker City,US,44.837299,-117.808998,5095,25,America/Anchorage,8000,small_airport
BKF,KBKF,Buckley Space Force Base,Aurora,US,39.701698,-104.751999,11000,25,America/Denver,45000,small_airport
BKH,PHBK,Barking Sands Airport,Kekaha,US,22.0228,-159.785004,6006,25,Pacific/Honolulu,15000,small_airport
BKI,WBKK,Kota Kinabalu International Airport,Kota Kinabalu,MY,5.937200,116.051500,12398,25,Asia/Kuala_Lumpur,850000,large_airport
BKK,VTBS,Suvarnabhumi Airport,Bangkok,TH,13.681100,100.747000,13123,120,Asia/Bangkok,1450000,large_airport
BKL,KBKL,Burke Lakefront Airport,Cleveland,US,41.517502,-81.683296,6198,25,America/New_York,45000,small_airport
BKQ,YBCK,Blackall Airport,Blackall,AU,-24.426900,145.427994,5200,1,Australia/Brisbane,15000,small_airport
BKW,KBKW,Raleigh County Memorial Airport,Beaver,US,37.7873,-81.124199,6750,25,America/New_York,18000,small_airport
BLB,MPPA,Panamá Pacífico International Airport,Panama City,PA,8.914940,-79.599701,8501,4,America/Panama,180000,medium_airport
BLF,KBLF,Mercer County Airport,Bluefield,US,37.295799,-81.207703,4742,25,America/New_York,12000,small_airport
BLH,KBLH,Blythe Airport,Blythe,US,33.619202,-114.717003,6543,25,America/Los_Angeles,10000,small_airport
BLI,KBLI,Bellingham International Airport,Bellingham,US,48.792801,-122.538002,6701,45,America/Anchorage,620000,medium_airport
BLR,VOBL,Kempegowda International Airport Bengaluru,Bengaluru,IN,13.197900,77.706299,13123,75,Asia/Kolkata,1270000,large_airport
BLV,KBLV,Scott AFB/Midamerica Airport,Belleville,US,38.5452,-89.835197,10000,25,America/New_York,180000,medium_airport
BME,YBRM,Broome International Airport,Broome,AU,-17.948900,122.233002,7756,5,Australia/Perth,160000,medium_airport
BMG,KBMG,Monroe County Airport,Bloomington,US,39.146,-86.616699,6500,25,America/New_York,45000,small_airport
BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,US,40.4771,-88.915901,8000,25,America/New_York,340000,medium_airport
BMO,VYBM,Bhamo Airport,Bhamo,MM,24.268301,97.230797,5500,1,Asia/Yangon,20000,small_airport
BMU,WADB,Sultan Muhammad Salahuddin Airport,Bima,ID,-8.541170,118.685997,5413,2,Asia/Makassar,80000,small_airport
BMV,VVBM,Buon Ma Thuot Airport,Buon Ma Thuot,VN,12.668100,108.120000,9842,5,Asia/Ho_Chi_Minh,450000,large_airport
BNA,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782,11030,80,America/New_York,910000,medium_airport
BNE,YBBN,Brisbane Airport,Brisbane,AU,-27.384199,153.117004,11811,65,Australia/Brisbane,1250000,large_airport
BNK,YBNA,Ballina Byron Gateway Airport,Ballina,AU,-28.833900,153.561996,6234,4,Australia/Sydney,120000,medium_airport
BNO,KBNO,Burns Municipal Airport,Burns,US,43.590463,-118.955154,5100,25,America/Anchorage,5000,small_airport
BOC,MPBO,Isla Colón International Airport,Bocas del Toro,PA,9.340800,-82.250801,4921,3,America/Panama,120000,medium_airport
BOG,SKBO,El Dorado International Airport,Bogota,CO,4.701590,-74.146900,12467,70,America/Bogota,1200000,large_airport
BOH,EGDC,Bournemouth Airport,Bournemouth,GB,50.780000,-1.829722,7451,10,Europe/London,150000,medium_airport
BOI,KBOI,Boise Air Terminal/Gowen Field,Boise,US,43.5644,-116.223,10000,60,America/Los_Angeles,940000,medium_airport
BOM,VABB,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN,19.088699,72.867897,11511,95,Asia/Kolkata,1350000,large_airport
BON,TNCB,Flamingo International Airport,Kralendijk,BQ,12.130900,-68.268700,9449,4,America/Kralendijk,150000,medium_airport
BOS,KBOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079,10083,106,America/New_York,970000,medium_airport
BPE,ZBDH,Qinhuangdao Beidaihe Airport,Qinhuangdao,CN,39.666900,119.062000,8530,8,Asia/Shanghai,220000,medium_airport
BPI,KBPI,Miley Memorial Field,Big Piney,US,42.585098,-110.111,6803,25,America/Denver,4000,small_airport
BPL,ZWBL,Bole Alashankou Airport,Bole,CN,44.893300,82.299400,8530,8,Asia/Urumqi,120000,medium_airport
BPN,WALL,Sultan Aji Muhammad Sulaiman Sepinggan Airport,Balikpapan,ID,-1.268270,116.893997,8202,25,Asia/Makassar,850000,large_airport
BPT,KBPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,US,29.9508,-94.020699,6750,25,America/Chicago,42000,small_airport
BPX,ZUBD,Qamdo Bamda Airport,Qamdo,CN,30.551100,97.108101,14764,8,Asia/Shanghai,150000,medium_airport
BQK,KBQK,Brunswick Golden Isles Airport,Brunswick,US,31.258801,-81.466499,8001,25,America/New_York,65000,small_airport
BQN,TJBQ,Rafael Hernández Airport,Aguadilla,PR,18.494900,-67.129400,11702,6,America/Puerto_Rico,280000,medium_airport
BRD,KBRD,Brainerd Lakes Regional Airport,Brainerd,US,46.402861,-94.129727,6500,25,America/Chicago,35000,small_airport
BRL,KBRL,Southeast Iowa Regional Airport,Burlington,US,40.783199,-91.125504,6702,25,America/Chicago,15000,small_airport
BRO,KBRO,Brownsville South Padre Island International Airport,Brownsville,US,25.907238,-97.425235,7400,45,America/Chicago,480000,medium_airport
BRR,EGPR,Barra Airport,Barra,GB,57.025000,-7.443611,2785,1,Europe/London,5000,small_airport
BRS,EGGD,Bristol Airport,Bristol,GB,51.382669,-2.719089,6598,20,Europe/London,650000,large_airport
BRW,PABR,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,US,71.285402,-156.766008,6500,25,Pacific/Honolulu,110000,medium_airport
BRX,MDBH,María Montez International Airport,Barahona,DO,18.252200,-71.121400,9842,2,America/Santo_Domingo,25000,small_airport
BSO,RPUO,Basco Airport,Basco,PH,20.451300,121.973999,4101,2,Asia/Manila,85000,small_airport
BSX,VYPN,Pathein Airport,Pathein,MM,16.813900,94.770500,8500,1,Asia/Yangon,10000,small_airport
BSZ,UCFM,Manas International Airport,Bishkek,KG,43.061298,74.477600,13780,14,Asia/Bishkek,420000,large_airport
BTH,WIDD,Hang Nadim International Airport,Batam,ID,1.121030,104.119003,13205,20,Asia/Jakarta,780000,large_airport
BTI,PABA,Barter Island Long Range Radar Station Airport,Barter Island,US,70.134003,-143.582001,4820,25,Pacific/Honolulu,5000,small_airport
BTL,KBTL,Battle Creek Executive Airport at Kellogg Field,Battle Creek,US,42.307301,-85.251503,10003,25,America/New_York,65000,small_airport
BTM,KBTM,Bert Mooney Airport,Butte,US,45.9548,-112.497002,9001,25,America/Denver,45000,small_airport
BTR,KBTR,Baton Rouge Metropolitan Airport,Baton Rouge,US,30.533199,-91.149597,7004,25,America/Chicago,640000,medium_airport
BTU,WBGB,Bintulu Airport,Bintulu,MY,3.197600,113.017000,8990,5,Asia/Kuala_Lumpur,100000,medium_airport
BTV,KBTV,Patrick Leahy Burlington International Airport,Burlington,US,44.471901,-73.153297,8320,45,America/New_York,670000,medium_airport
BUD,LHBP,Budapest Liszt Ferenc International Airport,Budapest,HU,47.430180,19.262393,12162,40,Europe/Budapest,960000,large_airport
BUF,KBUF,Buffalo Niagara International Airport,Buffalo,US,42.940498,-78.732201,8829,80,America/New_York,760000,medium_airport
BUR,KBUR,Hollywood Burbank Airport,Burbank,US,34.202834,-118.35805,6886,60,America/Anchorage,960000,medium_airport
BUT,VQBT,Bathpalathang Airport,Jakar,BT,27.561900,90.746100,3937,1,Asia/Thimphu,15000,small_airport
BUW,WAAB,Betoambari Airport,Bau-Bau,ID,-5.485120,122.564003,6561,3,Asia/Makassar,110000,medium_airport
BVY,KBVY,Beverly Regional Airport,Beverly / Danvers,US,42.584202,-70.916496,5001,25,America/New_York,35000,small_airport
BWA,VNBW,Gautam Buddha International Airport,Bhairahawa,NP,27.506100,83.419400,9842,6,Asia/Kathmandu,280000,medium_airport
BWG,KBWG,Bowling Green Warren County Regional Airport,Bowling Green,US,36.9645,-86.419701,6500,25,America/New_York,21000,small_airport
BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,39.1754,-76.668297,10502,80,America/New_York,930000,medium_airport
BWN,WBSB,Brunei International Airport,Bandar Seri Begawan,BN,4.939620,114.928001,12000,10,Asia/Brunei,450000,large_airport
BWT,YWYY,Burnie Airport,Wynyard,AU,-40.998699,145.731003,5413,2,Australia/Hobart,65000,medium_airport
BXB,WASB,Babo Airport,Babo,ID,-2.548890,133.220993,3937,1,Asia/Jayapura,10000,small_airport
BYH,KBYH,Arkansas International Airport,Blytheville,US,35.964298,-89.944,11602,45,America/New_York,80000,small_airport
BYI,KBYI,Burley Municipal Airport,Burley,US,42.542599,-113.772003,4094,25,America/Denver,5000,small_airport
BYM,MUBY,Carlos Manuel de Céspedes Airport,Bayamo,CU,20.395800,-76.620000,6500,2,America/Havana,35000,small_airport
