iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
PUS,RKPK,Gimhae International Airport,Busan,KR,35.179401,128.938000,10500,30,Asia/Seoul,950000,large_airport
PUT,VYPT,Putao Airport,Putao,MM,27.327501,97.426700,8500,1,Asia/Yangon,25000,small_airport
PUW,KPUW,Pullman-Moscow Regional Airport,Pullman,US,46.741601,-117.11163,6730,25,America/Anchorage,45000,small_airport
PUZ,MNPC,Puerto Cabezas Airport,Bilwi,NI,14.045000,-83.385300,9842,2,America/Managua,75000,small_airport
PVD,KPVD,Rhode Island T. F. Green International Airport,Providence/Warwick,US,41.725038,-71.425668,8700,80,America/New_York,810000,medium_airport
PVG,ZSPD,Shanghai Pudong International Airport,Shanghai,CN,31.143400,121.805000,13123,160,Asia/Shanghai,1900000,large_airport
PVR,MMPR,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,MX,20.680100,-105.254000,10171,20,America/Mexico_City,780000,large_airport
PVU,KPVU,Provo Municipal Airport,Provo,US,40.218894,-111.722445,8599,25,America/Denver,310000,medium_airport
PWK,KPWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,US,42.114222,-87.901494,5000,100,America/New_York,35000,small_airport
PWM,KPWM,Portland International Jetport,Portland,US,43.646198,-70.309303,7200,80,America/New_York,780000,medium_airport
PWT,KPWT,Bremerton National Airport,Bremerton,US,47.4902,-122.764999,6000,25,America/Anchorage,8000,small_airport
PWY,KPNA,Ralph Wenz Field,Pinedale,US,42.795502,-109.806999,7100,25,America/Denver,5000,small_airport
PXM,MMPS,Puerto Escondido International Airport,Puerto Escondido,MX,15.876900,-97.088100,7546,4,America/Mexico_City,310000,medium_airport
PXU,VVPK,Pleiku Airport,Pleiku,VN,14.004400,108.017200,7874,5,Asia/Ho_Chi_Minh,410000,large_airport
PYC,MPPY,Playón Chico Airport,Playón Chico,PA,9.308060,-78.225502,1500,1,America/Panama,8000,small_airport
QRO,MMQT,Querétaro Intercontinental Airport,Querétaro,MX,20.617300,-100.186000,11483,8,America/Mexico_City,350000,medium_airport
RAL,KRAL,Riverside Municipal Airport,Riverside,US,33.9519,-117.445,5401,25,America/Anchorage,8000,small_airport
RAP,KRAP,Rapid City Regional Airport,Rapid City,US,44.0453,-103.056999,8701,25,America/Chicago,150000,medium_airport
RBL,KRBL,Red Bluff Municipal Airport,Red Bluff,US,40.1507,-122.251999,5700,25,America/Anchorage,4000,small_airport
RBY,PARY,Ruby Airport,Ruby,US,64.727203,-155.470001,4000,25,Pacific/Honolulu,2000,small_airport
RCA,KRCA,Ellsworth Air Force Base,Rapid City,US,44.145,-103.103996,13497,25,America/Chicago,15000,small_airport
RDD,KRDD,Redding Municipal Airport,Redding,US,40.508999,-122.292999,7003,25,America/Anchorage,35000,small_airport
RDE,WAVR,Marinda Airport,Waisai,ID,-0.428611,130.826111,4593,1,Asia/Jayapura,25000,small_airport
RDG,KRDG,Reading Regional Airport (Carl A Spaatz Field),Reading,US,40.378502,-75.965202,6350,25,America/New_York,15000,small_airport
RDM,KRDM,Roberts Field,Redmond,US,44.254101,-121.150002,7040,25,America/Anchorage,280000,medium_airport
