origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
KOJ,KKX,18865.0,362.7885,7,2016,2025,jp_trend_wm_max_recent_v2
ASJ,TKN,18785.34,361.2565,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,ASJ,18716.93,359.9409,7,2016,2025,jp_trend_wm_max_recent_v2
OKD,KIJ,18716.02,359.9235,2,2024,2025,jp_trend_wm_max_recent_v2
SYO,NRT,18226.0,350.5,1,2019,2019,jp_trend_wm_max_recent_v2
ITM,OKI,18149.88,349.0362,7,2016,2025,jp_trend_wm_max_recent_v2
OKD,AXT,17921.7,344.648,3,2023,2025,jp_trend_wm_max_recent_v2
OKI,ITM,17802.06,342.3473,7,2016,2025,jp_trend_wm_max_recent_v2
KMQ,NRT,17707.0,340.5192,4,2016,2019,jp_trend_wm_max_recent_v2
OKA,OGN,17700.82,340.4004,7,2016,2025,jp_trend_wm_max_recent_v2
MMD,OKA,17659.0,339.5962,7,2016,2025,jp_trend_wm_max_recent_v2
AXT,OKD,17631.86,339.0743,3,2023,2025,jp_trend_wm_max_recent_v2
ITM,TJH,17628.82,339.0157,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,GAJ,17624.58,338.9342,6,2017,2025,jp_trend_wm_max_recent_v2
TJH,ITM,17616.81,338.7848,7,2016,2025,jp_trend_wm_max_recent_v2
IKI,NGS,17214.54,331.0488,7,2016,2025,jp_trend_wm_max_recent_v2
GAJ,CTS,17205.0,330.8654,6,2017,2025,jp_trend_wm_max_recent_v2
NRT,SYO,17196.0,330.6923,1,2019,2019,jp_trend_wm_max_recent_v2
IZO,FSZ,16986.06,326.655,5,2018,2025,jp_trend_wm_max_recent_v2
OKA,RNJ,16891.0,324.8269,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,AOJ,16864.8,324.323,3,2023,2025,jp_trend_wm_max_recent_v2
FUK,HNA,16834.16,323.7339,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,KIJ,16824.0,323.5385,4,2016,2019,jp_trend_wm_max_recent_v2
AXJ,FUK,16749.0,322.0962,7,2016,2025,jp_trend_wm_max_recent_v2
