origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
CBR,WLG,5775.24,111.0623,3,2016,2018,au_trend_wm_max_recent_v2
MEL,CSX,5674.0,109.1154,4,2016,2019,au_trend_wm_max_recent_v2
BKI,PER,5559.9,106.9211,5,2015,2019,au_trend_wm_max_recent_v2
PER,BKI,5511.91,105.9984,5,2015,2019,au_trend_wm_max_recent_v2
CNS,GUM,5484.68,105.4747,1,2015,2015,au_trend_wm_max_recent_v2
NTL,DPS,5291.42,101.7581,1,2025,2025,au_trend_wm_max_recent_v2
DPS,TSV,5244.38,100.8535,4,2015,2018,au_trend_wm_max_recent_v2
GUM,CNS,5174.03,99.5005,1,2015,2015,au_trend_wm_max_recent_v2
SYD,IST,4948.01,95.154,3,2015,2025,au_trend_wm_max_recent_v2
MEL,KWE,4941.0,95.0192,1,2019,2019,au_trend_wm_max_recent_v2
DPS,NTL,4716.9,90.7097,1,2025,2025,au_trend_wm_max_recent_v2
PVG,CNS,4684.0,90.0769,5,2015,2024,au_trend_wm_max_recent_v2
DPS,PHE,4453.0,85.6346,5,2015,2019,au_trend_wm_max_recent_v2
PHE,DPS,4438.0,85.3462,5,2015,2019,au_trend_wm_max_recent_v2
SZX,DRW,4222.0,81.1923,2,2018,2019,au_trend_wm_max_recent_v2
ROT,SYD,3995.26,76.8319,1,2015,2015,au_trend_wm_max_recent_v2
SYD,ROT,3824.23,73.5429,1,2015,2015,au_trend_wm_max_recent_v2
AKL,NTL,3684.0,70.8462,2,2018,2019,au_trend_wm_max_recent_v2
DRW,SZX,3649.0,70.1731,2,2018,2019,au_trend_wm_max_recent_v2
KWE,MEL,3607.0,69.3654,1,2019,2019,au_trend_wm_max_recent_v2
NTL,AKL,3440.0,66.1538,2,2018,2019,au_trend_wm_max_recent_v2
BME,SIN,3312.26,63.6973,2,2024,2025,au_trend_wm_max_recent_v2
CBR,DPS,3174.59,61.0497,2,2024,2025,au_trend_wm_max_recent_v2
CNS,PVG,3105.0,59.7115,5,2015,2024,au_trend_wm_max_recent_v2
SYD,CDG,3057.75,58.8028,2,2024,2025,au_trend_wm_max_recent_v2
SIN,BME,3036.01,58.3848,2,2024,2025,au_trend_wm_max_recent_v2
CDG,SYD,2899.24,55.7547,2,2024,2025,au_trend_wm_max_recent_v2
IST,SYD,2877.51,55.3367,3,2015,2025,au_trend_wm_max_recent_v2
DPS,CBR,2776.97,53.4033,2,2024,2025,au_trend_wm_max_recent_v2
OOL,ICN,2690.0,51.7308,1,2019,2019,au_trend_wm_max_recent_v2
ICN,OOL,2649.0,50.9423,1,2019,2019,au_trend_wm_max_recent_v2
ICN,CNS,2612.22,50.235,3,2016,2018,au_trend_wm_max_recent_v2
SYD,FCO,2547.82,48.9966,3,2023,2025,au_trend_wm_max_recent_v2
SYD,TSN,2463.9,47.3826,5,2018,2025,au_trend_wm_max_recent_v2
CNS,ICN,2297.04,44.1738,3,2016,2018,au_trend_wm_max_recent_v2
BNE,CEB,2217.26,42.6397,1,2025,2025,au_trend_wm_max_recent_v2
ADL,CHC,2206.61,42.4348,1,2025,2025,au_trend_wm_max_recent_v2
FCO,SYD,2118.5,40.7405,3,2023,2025,au_trend_wm_max_recent_v2
TSN,SYD,2086.97,40.134,5,2018,2025,au_trend_wm_max_recent_v2
CHC,ADL,2052.1,39.4635,1,2025,2025,au_trend_wm_max_recent_v2
PVG,PER,2028.84,39.0161,2,2024,2025,au_trend_wm_max_recent_v2
FOC,MEL,1956.7,37.6289,1,2023,2023,au_trend_wm_max_recent_v2
SYD,CTS,1578.0,30.3462,2,2019,2025,au_trend_wm_max_recent_v2
SFO,ADL,1463.38,28.1419,1,2025,2025,au_trend_wm_max_recent_v2
CEB,BNE,1453.61,27.954,1,2025,2025,au_trend_wm_max_recent_v2
SHE,MEL,1366.05,26.2701,2,2016,2017,au_trend_wm_max_recent_v2
ADL,SFO,1349.72,25.9561,1,2025,2025,au_trend_wm_max_recent_v2
ADL,SGN,1185.29,22.7941,2,2023,2024,au_trend_wm_max_recent_v2
MEL,SHE,1167.33,22.4486,2,2016,2017,au_trend_wm_max_recent_v2
